Line,Station,Lat,Long,E_WGS84_Z7,N_WGS84_Z7,ALT,Az,Dur,Noise,rE_0011,rE_0022,rE_0045,rE_0090,rE_0180,rE_0360,rE_0720,rE_1440,rN_0011,rN_0022,rN_0045,rN_0090,rN_0180,rN_0360,rN_0720,rN_1440,iE_0011,iE_0022,iE_0045,iE_0090,iE_0180,iE_0360,iE_0720,iE_1440,iN_0011,iN_0022,iN_0045,iN_0090,iN_0180,iN_0360,iN_0720,iN_1440,SNI_0011,SNI_0022,SNI_0045,SNI_0090,SNI_0180,SNI_0360,SNI_0720,SNI_1440
1000,0,61.35679855,-139.2490245,593631,6803786,1311.8,144.9,180,0,,0.131,0.018,-0.018,-0.023,-0.026,-0.027,-0.034,,-0.076,-0.065,-0.05,-0.04,-0.033,-0.036,-0.026,0.036,-0.004,0.017,-0.004,-0.007,-0.004,-0.002,0.005,0.013,0.006,0.008,0.017,0.017,0.01,0.01,0.013,61.8,144,420.1,1174.8,2792.6,4666.8,3619.4,1225.2
1000,0,61.35679855,-139.2490245,593631,6803786,1311.8,227.2,170,0,,0.189,0.035,0.048,-0.022,-0.026,-0.03,-0.037,,-0.157,-0.095,-0.075,-0.046,-0.038,-0.03,-0.008,-0.021,-0.005,-0.014,-0.007,-0.002,0,0.001,0.014,-0.03,0.016,0.029,0.033,0.026,0.02,0.019,0.004,39.6,143.2,351.2,532.9,1953.7,1866.6,1192.4,333.1
1000,250,61.35840986,-139.2458481,593796,6803970,1309,293.2,201,0,,0.059,0.02,-0.001,-0.003,-0.005,-0.01,-0.019,,-0.124,-0.063,-0.051,-0.045,-0.029,-0.008,0.019,-0.124,0.011,0.014,0.002,-0.001,-0.005,-0.02,-0.031,0.011,0.032,0.011,0.012,0.025,0.036,0.03,0.007,17.6,120.5,382.8,973,2150.1,2527,2160.1,451
1000,500,61.36002207,-139.2427462,593957,6804154,1294.9,150.1,183,0,,0.071,0.052,-0.072,0.002,-0.001,-0.004,-0.031,,0.079,0.006,0.031,-0.042,-0.039,-0.015,-0.01,-0.006,0.082,-0.067,-0.046,-0.012,-0.019,-0.029,-0.034,-0.049,-0.022,0.009,-0.007,-0.006,0.014,0.03,0.022,76.9,124.4,270.5,399.4,1208.8,1107.3,620.3,99
1000,750,61.36177922,-139.2397481,594112,6804354,1279.1,26,181,0,,-0.182,,-0.022,-0.026,-0.039,-0.062,-0.076,,0.04,,-0.031,-0.065,-0.082,-0.08,-0.057,0.048,0.011,-0.011,-0.014,-0.02,-0.028,-0.026,-0.019,0,0.007,-0.032,-0.049,-0.039,-0.011,0.02,0.033,71.7,104.2,242.8,567.9,1266.5,1861.9,1853.1,557.1
1000,1000,61.36348975,-139.2366212,594274,6804549,1255.5,238.8,212,0,,,0.114,0.001,-0.029,-0.046,-0.057,-0.052,,,0.014,0.027,0.011,0.018,0.041,0.077,0.019,0.005,-0.016,-0.027,-0.03,-0.021,-0.004,0.014,0.005,0.025,-0.002,-0.016,0.002,0.029,0.047,0.059,77.5,137.8,349.6,1049,2275.2,3620.2,3671.2,995.5
1000,1000,61.36348975,-139.2366212,594274,6804549,1255.5,205.3,177,0,,,0.038,0,-0.024,-0.042,-0.052,-0.05,,,0.054,0.038,0.021,0.026,0.049,0.071,-0.026,-0.006,-0.014,-0.029,-0.03,-0.021,-0.005,0.014,0.075,0.031,-0.006,-0.019,-0.002,0.027,0.046,0.051,47.1,201,501.6,1387.5,2657.1,3955.2,4299.9,2174.2
1000,1250,61.36509058,-139.2333506,594444,6804732,1237.6,0.9,250,0,,-0.144,-0.042,-0.017,-0.01,-0.002,0,-0.004,,0.141,0.16,0.155,0.151,0.159,0.163,0.161,0.026,0.012,0,0.006,0.009,0.006,0.002,-0.01,0.09,0.089,0.035,0.007,0.005,0.001,-0.012,-0.029,81.8,106.8,308.5,765.4,1826.6,3049.4,2397.7,593.3
1000,1500,61.36685455,-139.2302014,594607,6804933,1238.3,199.1,184,0,,,0.256,0.113,0.122,0.127,0.136,,,,,0.242,0.246,0.246,0.221,,-0.09,0.036,,0.026,0.014,-0.008,-0.039,-0.065,0.07,0.108,0.079,0.03,0.005,-0.021,-0.053,-0.066,65.6,164.3,295.2,716.5,1368.1,1973.3,1270.5,237.4
1000,1750,61.36846834,-139.2272474,594760,6805117,1272.8,353,252,0,0.173,-0.024,0.001,-0.005,0.002,0.001,,,0.163,0.2,0.244,0.262,0.259,0.247,,,,0.032,0.015,0.011,0.01,0.011,-0.02,-0.045,,0.109,0.072,0.019,-0.021,-0.054,-0.19,-0.19,2.5,162.4,389.9,695.7,585.8,236.2,59.7,28.1
